#Terminal (i)	Terminal (j)	From time (i)	To time (j)	Node (i)	Node (j)	Transport time [TA]	Container Cost [TA]	Train length [TA]	Train cost [TA]	Rail Line Daily Capacity [TA]
1	12	19	24	451	587	5	1797	50	5154	10
1	12	20	25	476	612	5	1797	50	5154	10
1	12	21	26	501	637	5	1797	50	5154	10
1	12	22	27	526	662	5	1797	50	5154	10
1	12	23	28	551	687	5	1797	50	5154	10
1	12	24	29	576	712	5	1797	50	5154	10
1	12	25	30	601	737	5	1797	50	5154	10
1	12	26	31	626	762	5	1797	50	5154	10
1	12	27	32	651	787	5	1797	50	5154	10
1	12	28	33	676	812	5	1797	50	5154	10
1	12	29	34	701	837	5	1797	50	5154	10
1	12	30	35	726	862	5	1797	50	5154	10
1	12	31	36	751	887	5	1797	50	5154	10
1	12	32	37	776	912	5	1797	50	5154	10
1	12	33	38	801	937	5	1797	50	5154	10
1	12	34	39	826	962	5	1797	50	5154	10
1	12	35	40	851	987	5	1797	50	5154	10
1	13	1	5	1	113	4	1695	50	5312	0
1	13	2	6	26	138	4	1695	50	5312	0
1	13	3	7	51	163	4	1695	50	5312	0
1	13	4	8	76	188	4	1695	50	5312	0
1	13	5	9	101	213	4	1695	50	5312	0
1	13	6	10	126	238	4	1695	50	5312	0
1	13	7	11	151	263	4	1695	50	5312	0
1	13	8	12	176	288	4	1695	50	5312	0
1	13	9	13	201	313	4	1695	50	5312	0
1	13	10	14	226	338	4	1695	50	5312	0
1	13	11	15	251	363	4	1695	50	5312	0
1	13	12	16	276	388	4	1695	50	5312	0
1	13	13	17	301	413	4	1695	50	5312	0
1	13	14	18	326	438	4	1695	50	5312	0
1	13	15	19	351	463	4	1695	50	5312	0
1	13	16	20	376	488	4	1695	50	5312	0
1	13	17	21	401	513	4	1695	50	5312	0
1	13	18	22	426	538	4	1695	50	5312	0
1	13	19	23	451	563	4	1695	50	5312	0
1	13	20	24	476	588	4	1695	50	5312	0
1	13	21	25	501	613	4	1695	50	5312	0
1	13	22	26	526	638	4	1695	50	5312	0
1	13	23	27	551	663	4	1695	50	5312	0
1	13	24	28	576	688	4	1695	50	5312	0
1	13	25	29	601	713	4	1695	50	5312	0
1	13	26	30	626	738	4	1695	50	5312	0
1	13	27	31	651	763	4	1695	50	5312	0
1	13	28	32	676	788	4	1695	50	5312	0
1	13	29	33	701	813	4	1695	50	5312	0
1	13	30	34	726	838	4	1695	50	5312	0
1	13	31	35	751	863	4	1695	50	5312	0
1	13	32	36	776	888	4	1695	50	5312	0
1	13	33	37	801	913	4	1695	50	5312	0
1	13	34	38	826	938	4	1695	50	5312	0
1	13	35	39	851	963	4	1695	50	5312	0
1	13	36	40	876	988	4	1695	50	5312	0
2	10	1	5	2	110	4	1634	50	5129	0
2	10	2	6	27	135	4	1634	50	5129	0
2	10	3	7	52	160	4	1634	50	5129	0
2	10	4	8	77	185	4	1634	50	5129	0
2	10	5	9	102	210	4	1634	50	5129	0
2	10	6	10	127	235	4	1634	50	5129	0
2	10	7	11	152	260	4	1634	50	5129	0
2	10	8	12	177	285	4	1634	50	5129	0
2	10	9	13	202	310	4	1634	50	5129	0
2	10	10	14	227	335	4	1634	50	5129	0
2	10	11	15	252	360	4	1634	50	5129	0
2	10	12	16	277	385	4	1634	50	5129	0
2	10	13	17	302	410	4	1634	50	5129	0
2	10	14	18	327	435	4	1634	50	5129	0
2	10	15	19	352	460	4	1634	50	5129	0
2	10	16	20	377	485	4	1634	50	5129	0
2	10	17	21	402	510	4	1634	50	5129	0
2	10	18	22	427	535	4	1634	50	5129	0
2	10	19	23	452	560	4	1634	50	5129	0
2	10	20	24	477	585	4	1634	50	5129	0
2	10	21	25	502	610	4	1634	50	5129	0
2	10	22	26	527	635	4	1634	50	5129	0
2	10	23	27	552	660	4	1634	50	5129	0
2	10	24	28	577	685	4	1634	50	5129	0
2	10	25	29	602	710	4	1634	50	5129	0
2	10	26	30	627	735	4	1634	50	5129	0
2	10	27	31	652	760	4	1634	50	5129	0
2	10	28	32	677	785	4	1634	50	5129	0
2	10	29	33	702	810	4	1634	50	5129	0
2	10	30	34	727	835	4	1634	50	5129	0
2	10	31	35	752	860	4	1634	50	5129	0
2	10	32	36	777	885	4	1634	50	5129	0
2	10	33	37	802	910	4	1634	50	5129	0
2	10	34	38	827	935	4	1634	50	5129	0
2	10	35	39	852	960	4	1634	50	5129	0
2	10	36	40	877	985	4	1634	50	5129	0
2	11	1	6	2	136	5	1730	50	5983	0
2	11	2	7	27	161	5	1730	50	5983	0
2	11	3	8	52	186	5	1730	50	5983	0
2	11	4	9	77	211	5	1730	50	5983	0
2	11	5	10	102	236	5	1730	50	5983	0
2	11	6	11	127	261	5	1730	50	5983	0
2	11	7	12	152	286	5	1730	50	5983	0
2	11	8	13	177	311	5	1730	50	5983	0
2	11	9	14	202	336	5	1730	50	5983	0
2	11	10	15	227	361	5	1730	50	5983	0
2	11	11	16	252	386	5	1730	50	5983	0
2	11	12	17	277	411	5	1730	50	5983	0
2	11	13	18	302	436	5	1730	50	5983	0
2	11	14	19	327	461	5	1730	50	5983	0
2	11	15	20	352	486	5	1730	50	5983	0
2	11	16	21	377	511	5	1730	50	5983	0
2	11	17	22	402	536	5	1730	50	5983	0
2	11	18	23	427	561	5	1730	50	5983	0
2	11	19	24	452	586	5	1730	50	5983	0
2	11	20	25	477	611	5	1730	50	5983	0
2	11	21	26	502	636	5	1730	50	5983	0
2	11	22	27	527	661	5	1730	50	5983	0
2	11	23	28	552	686	5	1730	50	5983	0
2	11	24	29	577	711	5	1730	50	5983	0
2	11	25	30	602	736	5	1730	50	5983	0
2	11	26	31	627	761	5	1730	50	5983	0
2	11	27	32	652	786	5	1730	50	5983	0
2	11	28	33	677	811	5	1730	50	5983	0
2	11	29	34	702	836	5	1730	50	5983	0
2	11	30	35	727	861	5	1730	50	5983	0
2	11	31	36	752	886	5	1730	50	5983	0
2	11	32	37	777	911	5	1730	50	5983	0
2	11	33	38	802	936	5	1730	50	5983	0
2	11	34	39	827	961	5	1730	50	5983	0
2	11	35	40	852	986	5	1730	50	5983	0
2	12	1	5	2	112	4	1661	50	5663	10
2	12	2	6	27	137	4	1661	50	5663	10
2	12	3	7	52	162	4	1661	50	5663	10
2	12	4	8	77	187	4	1661	50	5663	10
2	12	5	9	102	212	4	1661	50	5663	10
2	12	6	10	127	237	4	1661	50	5663	10
2	12	7	11	152	262	4	1661	50	5663	10
2	12	8	12	177	287	4	1661	50	5663	10
2	12	9	13	202	312	4	1661	50	5663	10
2	12	10	14	227	337	4	1661	50	5663	10
2	12	11	15	252	362	4	1661	50	5663	10
2	12	12	16	277	387	4	1661	50	5663	10
2	12	13	17	302	412	4	1661	50	5663	10
2	12	14	18	327	437	4	1661	50	5663	10
2	12	15	19	352	462	4	1661	50	5663	10
2	12	16	20	377	487	4	1661	50	5663	10
2	12	17	21	402	512	4	1661	50	5663	10
2	12	18	22	427	537	4	1661	50	5663	10
2	12	19	23	452	562	4	1661	50	5663	10
2	12	20	24	477	587	4	1661	50	5663	10
2	12	21	25	502	612	4	1661	50	5663	10
2	12	22	26	527	637	4	1661	50	5663	10
2	12	23	27	552	662	4	1661	50	5663	10
2	12	24	28	577	687	4	1661	50	5663	10
2	12	25	29	602	712	4	1661	50	5663	10
2	12	26	30	627	737	4	1661	50	5663	10
2	12	27	31	652	762	4	1661	50	5663	10
2	12	28	32	677	787	4	1661	50	5663	10
2	12	29	33	702	812	4	1661	50	5663	10
2	12	30	34	727	837	4	1661	50	5663	10
2	12	31	35	752	862	4	1661	50	5663	10
2	12	32	36	777	887	4	1661	50	5663	10
2	12	33	37	802	912	4	1661	50	5663	10
2	12	34	38	827	937	4	1661	50	5663	10
2	12	35	39	852	962	4	1661	50	5663	10
2	12	36	40	877	987	4	1661	50	5663	10
2	13	1	5	2	113	4	1544	50	5716	5
2	13	2	6	27	138	4	1544	50	5716	5
2	13	3	7	52	163	4	1544	50	5716	5
2	13	4	8	77	188	4	1544	50	5716	5
2	13	5	9	102	213	4	1544	50	5716	5
2	13	6	10	127	238	4	1544	50	5716	5
2	13	7	11	152	263	4	1544	50	5716	5
2	13	8	12	177	288	4	1544	50	5716	5
2	13	9	13	202	313	4	1544	50	5716	5
2	13	10	14	227	338	4	1544	50	5716	5
2	13	11	15	252	363	4	1544	50	5716	5
2	13	12	16	277	388	4	1544	50	5716	5
2	13	13	17	302	413	4	1544	50	5716	5
2	13	14	18	327	438	4	1544	50	5716	5
2	13	15	19	352	463	4	1544	50	5716	5
2	13	16	20	377	488	4	1544	50	5716	5
2	13	17	21	402	513	4	1544	50	5716	5
2	13	18	22	427	538	4	1544	50	5716	5
2	13	19	23	452	563	4	1544	50	5716	5
2	13	20	24	477	588	4	1544	50	5716	5
2	13	21	25	502	613	4	1544	50	5716	5
2	13	22	26	527	638	4	1544	50	5716	5
2	13	23	27	552	663	4	1544	50	5716	5
2	13	24	28	577	688	4	1544	50	5716	5
2	13	25	29	602	713	4	1544	50	5716	5
2	13	26	30	627	738	4	1544	50	5716	5
2	13	27	31	652	763	4	1544	50	5716	5
2	13	28	32	677	788	4	1544	50	5716	5
2	13	29	33	702	813	4	1544	50	5716	5
2	13	30	34	727	838	4	1544	50	5716	5
2	13	31	35	752	863	4	1544	50	5716	5
2	13	32	36	777	888	4	1544	50	5716	5
2	13	33	37	802	913	4	1544	50	5716	5
2	13	34	38	827	938	4	1544	50	5716	5
2	13	35	39	852	963	4	1544	50	5716	5
2	13	36	40	877	988	4	1544	50	5716	5
3	10	1	6	3	135	5	1788	50	5939	5
3	10	2	7	28	160	5	1788	50	5939	5
3	10	3	8	53	185	5	1788	50	5939	5
3	10	4	9	78	210	5	1788	50	5939	5
3	10	5	10	103	235	5	1788	50	5939	5
3	10	6	11	128	260	5	1788	50	5939	5
3	10	7	12	153	285	5	1788	50	5939	5
3	10	8	13	178	310	5	1788	50	5939	5
3	10	9	14	203	335	5	1788	50	5939	5
3	10	10	15	228	360	5	1788	50	5939	5
3	10	11	16	253	385	5	1788	50	5939	5
3	10	12	17	278	410	5	1788	50	5939	5
3	10	13	18	303	435	5	1788	50	5939	5
3	10	14	19	328	460	5	1788	50	5939	5
3	10	15	20	353	485	5	1788	50	5939	5
3	10	16	21	378	510	5	1788	50	5939	5
3	10	17	22	403	535	5	1788	50	5939	5
3	10	18	23	428	560	5	1788	50	5939	5
3	10	19	24	453	585	5	1788	50	5939	5
3	10	20	25	478	610	5	1788	50	5939	5
3	10	21	26	503	635	5	1788	50	5939	5
3	10	22	27	528	660	5	1788	50	5939	5
3	10	23	28	553	685	5	1788	50	5939	5
3	10	24	29	578	710	5	1788	50	5939	5
3	10	25	30	603	735	5	1788	50	5939	5
3	10	26	31	628	760	5	1788	50	5939	5
3	10	27	32	653	785	5	1788	50	5939	5
3	10	28	33	678	810	5	1788	50	5939	5
3	10	29	34	703	835	5	1788	50	5939	5
3	10	30	35	728	860	5	1788	50	5939	5
3	10	31	36	753	885	5	1788	50	5939	5
3	10	32	37	778	910	5	1788	50	5939	5
3	10	33	38	803	935	5	1788	50	5939	5
3	10	34	39	828	960	5	1788	50	5939	5
3	10	35	40	853	985	5	1788	50	5939	5
3	11	1	5	3	111	4	1559	50	5333	0
3	11	2	6	28	136	4	1559	50	5333	0
3	11	3	7	53	161	4	1559	50	5333	0
3	11	4	8	78	186	4	1559	50	5333	0
3	11	5	9	103	211	4	1559	50	5333	0
3	11	6	10	128	236	4	1559	50	5333	0
3	11	7	11	153	261	4	1559	50	5333	0
3	11	8	12	178	286	4	1559	50	5333	0
3	11	9	13	203	311	4	1559	50	5333	0
3	11	10	14	228	336	4	1559	50	5333	0
3	11	11	15	253	361	4	1559	50	5333	0
3	11	12	16	278	386	4	1559	50	5333	0
3	11	13	17	303	411	4	1559	50	5333	0
3	11	14	18	328	436	4	1559	50	5333	0
3	11	15	19	353	461	4	1559	50	5333	0
3	11	16	20	378	486	4	1559	50	5333	0
3	11	17	21	403	511	4	1559	50	5333	0
3	11	18	22	428	536	4	1559	50	5333	0
3	11	19	23	453	561	4	1559	50	5333	0
3	11	20	24	478	586	4	1559	50	5333	0
3	11	21	25	503	611	4	1559	50	5333	0
3	11	22	26	528	636	4	1559	50	5333	0
3	11	23	27	553	661	4	1559	50	5333	0
3	11	24	28	578	686	4	1559	50	5333	0
3	11	25	29	603	711	4	1559	50	5333	0
3	11	26	30	628	736	4	1559	50	5333	0
3	11	27	31	653	761	4	1559	50	5333	0
3	11	28	32	678	786	4	1559	50	5333	0
3	11	29	33	703	811	4	1559	50	5333	0
3	11	30	34	728	836	4	1559	50	5333	0
3	11	31	35	753	861	4	1559	50	5333	0
3	11	32	36	778	886	4	1559	50	5333	0
3	11	33	37	803	911	4	1559	50	5333	0
3	11	34	38	828	936	4	1559	50	5333	0
3	11	35	39	853	961	4	1559	50	5333	0
3	11	36	40	878	986	4	1559	50	5333	0
3	12	1	6	3	137	5	1686	50	5604	0
3	12	2	7	28	162	5	1686	50	5604	0
3	12	3	8	53	187	5	1686	50	5604	0
3	12	4	9	78	212	5	1686	50	5604	0
3	12	5	10	103	237	5	1686	50	5604	0
3	12	6	11	128	262	5	1686	50	5604	0
3	12	7	12	153	287	5	1686	50	5604	0
3	12	8	13	178	312	5	1686	50	5604	0
3	12	9	14	203	337	5	1686	50	5604	0
3	12	10	15	228	362	5	1686	50	5604	0
3	12	11	16	253	387	5	1686	50	5604	0
3	12	12	17	278	412	5	1686	50	5604	0
3	12	13	18	303	437	5	1686	50	5604	0
3	12	14	19	328	462	5	1686	50	5604	0
3	12	15	20	353	487	5	1686	50	5604	0
3	12	16	21	378	512	5	1686	50	5604	0
3	12	17	22	403	537	5	1686	50	5604	0
3	12	18	23	428	562	5	1686	50	5604	0
3	12	19	24	453	587	5	1686	50	5604	0
3	12	20	25	478	612	5	1686	50	5604	0
3	12	21	26	503	637	5	1686	50	5604	0
3	12	22	27	528	662	5	1686	50	5604	0
3	12	23	28	553	687	5	1686	50	5604	0
3	12	24	29	578	712	5	1686	50	5604	0
3	12	25	30	603	737	5	1686	50	5604	0
3	12	26	31	628	762	5	1686	50	5604	0
3	12	27	32	653	787	5	1686	50	5604	0
3	12	28	33	678	812	5	1686	50	5604	0
3	12	29	34	703	837	5	1686	50	5604	0
3	12	30	35	728	862	5	1686	50	5604	0
3	12	31	36	753	887	5	1686	50	5604	0
3	12	32	37	778	912	5	1686	50	5604	0
3	12	33	38	803	937	5	1686	50	5604	0
3	12	34	39	828	962	5	1686	50	5604	0
3	12	35	40	853	987	5	1686	50	5604	0
3	13	1	5	3	113	4	1774	50	5726	5
3	13	2	6	28	138	4	1774	50	5726	5
3	13	3	7	53	163	4	1774	50	5726	5
3	13	4	8	78	188	4	1774	50	5726	5
3	13	5	9	103	213	4	1774	50	5726	5
3	13	6	10	128	238	4	1774	50	5726	5
3	13	7	11	153	263	4	1774	50	5726	5
3	13	8	12	178	288	4	1774	50	5726	5
3	13	9	13	203	313	4	1774	50	5726	5
3	13	10	14	228	338	4	1774	50	5726	5
3	13	11	15	253	363	4	1774	50	5726	5
3	13	12	16	278	388	4	1774	50	5726	5
3	13	13	17	303	413	4	1774	50	5726	5
3	13	14	18	328	438	4	1774	50	5726	5
3	13	15	19	353	463	4	1774	50	5726	5
3	13	16	20	378	488	4	1774	50	5726	5
3	13	17	21	403	513	4	1774	50	5726	5
3	13	18	22	428	538	4	1774	50	5726	5
3	13	19	23	453	563	4	1774	50	5726	5
3	13	20	24	478	588	4	1774	50	5726	5
3	13	21	25	503	613	4	1774	50	5726	5
3	13	22	26	528	638	4	1774	50	5726	5
3	13	23	27	553	663	4	1774	50	5726	5
3	13	24	28	578	688	4	1774	50	5726	5
3	13	25	29	603	713	4	1774	50	5726	5
3	13	26	30	628	738	4	1774	50	5726	5
3	13	27	31	653	763	4	1774	50	5726	5
3	13	28	32	678	788	4	1774	50	5726	5
3	13	29	33	703	813	4	1774	50	5726	5
3	13	30	34	728	838	4	1774	50	5726	5
3	13	31	35	753	863	4	1774	50	5726	5
3	13	32	36	778	888	4	1774	50	5726	5
3	13	33	37	803	913	4	1774	50	5726	5
3	13	34	38	828	938	4	1774	50	5726	5
3	13	35	39	853	963	4	1774	50	5726	5
3	13	36	40	878	988	4	1774	50	5726	5
4	10	1	6	4	135	5	1645	50	5340	5
4	10	2	7	29	160	5	1645	50	5340	5
4	10	3	8	54	185	5	1645	50	5340	5
4	10	4	9	79	210	5	1645	50	5340	5
4	10	5	10	104	235	5	1645	50	5340	5
4	10	6	11	129	260	5	1645	50	5340	5
4	10	7	12	154	285	5	1645	50	5340	5
4	10	8	13	179	310	5	1645	50	5340	5
4	10	9	14	204	335	5	1645	50	5340	5
4	10	10	15	229	360	5	1645	50	5340	5
4	10	11	16	254	385	5	1645	50	5340	5
4	10	12	17	279	410	5	1645	50	5340	5
4	10	13	18	304	435	5	1645	50	5340	5
4	10	14	19	329	460	5	1645	50	5340	5
4	10	15	20	354	485	5	1645	50	5340	5
4	10	16	21	379	510	5	1645	50	5340	5
4	10	17	22	404	535	5	1645	50	5340	5
4	10	18	23	429	560	5	1645	50	5340	5
4	10	19	24	454	585	5	1645	50	5340	5
4	10	20	25	479	610	5	1645	50	5340	5
4	10	21	26	504	635	5	1645	50	5340	5
4	10	22	27	529	660	5	1645	50	5340	5
4	10	23	28	554	685	5	1645	50	5340	5
4	10	24	29	579	710	5	1645	50	5340	5
4	10	25	30	604	735	5	1645	50	5340	5
4	10	26	31	629	760	5	1645	50	5340	5
4	10	27	32	654	785	5	1645	50	5340	5
4	10	28	33	679	810	5	1645	50	5340	5
4	10	29	34	704	835	5	1645	50	5340	5
4	10	30	35	729	860	5	1645	50	5340	5
4	10	31	36	754	885	5	1645	50	5340	5
4	10	32	37	779	910	5	1645	50	5340	5
4	10	33	38	804	935	5	1645	50	5340	5
4	10	34	39	829	960	5	1645	50	5340	5
4	10	35	40	854	985	5	1645	50	5340	5
4	11	1	5	4	111	4	1525	50	5349	10
4	11	2	6	29	136	4	1525	50	5349	10
4	11	3	7	54	161	4	1525	50	5349	10
4	11	4	8	79	186	4	1525	50	5349	10
4	11	5	9	104	211	4	1525	50	5349	10
4	11	6	10	129	236	4	1525	50	5349	10
4	11	7	11	154	261	4	1525	50	5349	10
4	11	8	12	179	286	4	1525	50	5349	10
4	11	9	13	204	311	4	1525	50	5349	10
4	11	10	14	229	336	4	1525	50	5349	10
4	11	11	15	254	361	4	1525	50	5349	10
4	11	12	16	279	386	4	1525	50	5349	10
4	11	13	17	304	411	4	1525	50	5349	10
4	11	14	18	329	436	4	1525	50	5349	10
4	11	15	19	354	461	4	1525	50	5349	10
4	11	16	20	379	486	4	1525	50	5349	10
4	11	17	21	404	511	4	1525	50	5349	10
4	11	18	22	429	536	4	1525	50	5349	10
4	11	19	23	454	561	4	1525	50	5349	10
4	11	20	24	479	586	4	1525	50	5349	10
4	11	21	25	504	611	4	1525	50	5349	10
4	11	22	26	529	636	4	1525	50	5349	10
4	11	23	27	554	661	4	1525	50	5349	10
4	11	24	28	579	686	4	1525	50	5349	10
4	11	25	29	604	711	4	1525	50	5349	10
4	11	26	30	629	736	4	1525	50	5349	10
4	11	27	31	654	761	4	1525	50	5349	10
4	11	28	32	679	786	4	1525	50	5349	10
4	11	29	33	704	811	4	1525	50	5349	10
4	11	30	34	729	836	4	1525	50	5349	10
4	11	31	35	754	861	4	1525	50	5349	10
4	11	32	36	779	886	4	1525	50	5349	10
4	11	33	37	804	911	4	1525	50	5349	10
4	11	34	38	829	936	4	1525	50	5349	10
4	11	35	39	854	961	4	1525	50	5349	10
4	11	36	40	879	986	4	1525	50	5349	10
4	12	1	5	4	112	4	1589	50	5888	5
4	12	2	6	29	137	4	1589	50	5888	5
4	12	3	7	54	162	4	1589	50	5888	5
4	12	4	8	79	187	4	1589	50	5888	5
4	12	5	9	104	212	4	1589	50	5888	5
4	12	6	10	129	237	4	1589	50	5888	5
4	12	7	11	154	262	4	1589	50	5888	5
4	12	8	12	179	287	4	1589	50	5888	5
4	12	9	13	204	312	4	1589	50	5888	5
4	12	10	14	229	337	4	1589	50	5888	5
4	12	11	15	254	362	4	1589	50	5888	5
4	12	12	16	279	387	4	1589	50	5888	5
4	12	13	17	304	412	4	1589	50	5888	5
4	12	14	18	329	437	4	1589	50	5888	5
4	12	15	19	354	462	4	1589	50	5888	5
4	12	16	20	379	487	4	1589	50	5888	5
4	12	17	21	404	512	4	1589	50	5888	5
4	12	18	22	429	537	4	1589	50	5888	5
4	12	19	23	454	562	4	1589	50	5888	5
4	12	20	24	479	587	4	1589	50	5888	5
4	12	21	25	504	612	4	1589	50	5888	5
4	12	22	26	529	637	4	1589	50	5888	5
4	12	23	27	554	662	4	1589	50	5888	5
4	12	24	28	579	687	4	1589	50	5888	5
4	12	25	29	604	712	4	1589	50	5888	5
4	12	26	30	629	737	4	1589	50	5888	5
4	12	27	31	654	762	4	1589	50	5888	5
4	12	28	32	679	787	4	1589	50	5888	5
4	12	29	33	704	812	4	1589	50	5888	5
4	12	30	34	729	837	4	1589	50	5888	5
4	12	31	35	754	862	4	1589	50	5888	5
4	12	32	36	779	887	4	1589	50	5888	5
4	12	33	37	804	912	4	1589	50	5888	5
4	12	34	38	829	937	4	1589	50	5888	5
4	12	35	39	854	962	4	1589	50	5888	5
4	12	36	40	879	987	4	1589	50	5888	5
4	13	1	5	4	113	4	1555	50	5995	5
4	13	2	6	29	138	4	1555	50	5995	5
4	13	3	7	54	163	4	1555	50	5995	5
4	13	4	8	79	188	4	1555	50	5995	5
4	13	5	9	104	213	4	1555	50	5995	5
4	13	6	10	129	238	4	1555	50	5995	5
4	13	7	11	154	263	4	1555	50	5995	5
4	13	8	12	179	288	4	1555	50	5995	5
4	13	9	13	204	313	4	1555	50	5995	5
4	13	10	14	229	338	4	1555	50	5995	5
4	13	11	15	254	363	4	1555	50	5995	5
4	13	12	16	279	388	4	1555	50	5995	5
4	13	13	17	304	413	4	1555	50	5995	5
4	13	14	18	329	438	4	1555	50	5995	5
4	13	15	19	354	463	4	1555	50	5995	5
4	13	16	20	379	488	4	1555	50	5995	5
4	13	17	21	404	513	4	1555	50	5995	5
4	13	18	22	429	538	4	1555	50	5995	5
4	13	19	23	454	563	4	1555	50	5995	5
4	13	20	24	479	588	4	1555	50	5995	5
4	13	21	25	504	613	4	1555	50	5995	5
4	13	22	26	529	638	4	1555	50	5995	5
4	13	23	27	554	663	4	1555	50	5995	5
4	13	24	28	579	688	4	1555	50	5995	5
4	13	25	29	604	713	4	1555	50	5995	5
4	13	26	30	629	738	4	1555	50	5995	5
4	13	27	31	654	763	4	1555	50	5995	5
4	13	28	32	679	788	4	1555	50	5995	5
4	13	29	33	704	813	4	1555	50	5995	5
4	13	30	34	729	838	4	1555	50	5995	5
4	13	31	35	754	863	4	1555	50	5995	5
4	13	32	36	779	888	4	1555	50	5995	5
4	13	33	37	804	913	4	1555	50	5995	5
4	13	34	38	829	938	4	1555	50	5995	5
4	13	35	39	854	963	4	1555	50	5995	5
4	13	36	40	879	988	4	1555	50	5995	5
5	10	1	6	5	135	5	1615	50	5632	0
5	10	2	7	30	160	5	1615	50	5632	0
5	10	3	8	55	185	5	1615	50	5632	0
5	10	4	9	80	210	5	1615	50	5632	0
