#Node	Terminal	Time Period	Location	Terminal capacity	Storage Cost	Handling Cost	In Capacity	Out Capacity
51	1	3	OC	18	30	20	1100	110
52	2	3	OC	18	30	20	1100	110
53	3	3	OC	18	30	20	1100	110
54	4	3	OC	18	30	20	1100	55
55	5	3	OC	18	30	20	1100	55
56	6	3	OC	18	30	20	1100	55
57	7	3	OC	18	30	20	1100	55
58	8	3	OC	18	30	20	1100	55
59	9	3	OC	18	30	20	1100	55
60	10	3	TCO	13	80	50	22	19
61	11	3	TCO	14	80	50	11	19
62	12	3	TCO	7	80	50	11	12
63	13	3	TCO	5	80	50	11	6
64	14	3	TEI	16	100	50	25	25
65	15	3	TEI	2	100	50	19	17
66	16	3	TEI	1	100	50	6	8
67	17	3	DE	24	50	30	126	840
68	18	3	DE	24	50	30	84	840
69	19	3	DE	24	50	30	42	840
70	20	3	DE	24	50	30	42	840
71	21	3	DE	24	50	30	42	840
72	22	3	DE	24	50	30	42	840
73	23	3	DE	24	50	30	42	840
74	24	3	DE	24	50	30	42	840
75	25	3	DE	24	50	30	42	840
76	1	4	OC	18	30	20	1100	110
77	2	4	OC	18	30	20	1100	110
78	3	4	OC	18	30	20	1100	110
79	4	4	OC	18	30	20	1100	55
80	5	4	OC	18	30	20	1100	55
81	6	4	OC	18	30	20	1100	55
82	7	4	OC	18	30	20	1100	55
83	8	4	OC	18	30	20	1100	55
84	9	4	OC	18	30	20	1100	55
85	10	4	TCO	13	80	50	22	19
86	11	4	TCO	14	80	50	11	19
87	12	4	TCO	7	80	50	11	12
88	13	4	TCO	5	80	50	11	6
89	14	4	TEI	16	100	50	25	25
90	15	4	TEI	2	100	50	19	17
91	16	4	TEI	1	100	50	6	8
92	17	4	DE	24	50	30	126	840
93	18	4	DE	24	50	30	84	840
94	19	4	DE	24	50	30	42	840
95	20	4	DE	24	50	30	42	840
96	21	4	DE	24	50	30	42	840
97	22	4	DE	24	50	30	42	840
98	23	4	DE	24	50	30	42	840
99	24	4	DE	24	50	30	42	840
100	25	4	DE	24	50	30	42	840
101	1	5	OC	18	30	20	1100	110
102	2	5	OC	18	30	20	1100	110
103	3	5	OC	18	30	20	1100	110
104	4	5	OC	18	30	20	1100	55
105	5	5	OC	18	30	20	1100	55
106	6	5	OC	18	30	20	1100	55
107	7	5	OC	18	30	20	1100	55
108	8	5	OC	18	30	20	1100	55
109	9	5	OC	18	30	20	1100	55
110	10	5	TCO	13	80	50	22	19
111	11	5	TCO	14	80	50	11	19
112	12	5	TCO	7	80	50	11	12
113	13	5	TCO	5	80	50	11	6
114	14	5	TEI	16	100	50	25	25
115	15	5	TEI	2	100	50	19	17
116	16	5	TEI	1	100	50	6	8
117	17	5	DE	24	50	30	126	840
118	18	5	DE	24	50	30	84	840
119	19	5	DE	24	50	30	42	840
120	20	5	DE	24	50	30	42	840
121	21	5	DE	24	50	30	42	840
122	22	5	DE	24	50	30	42	840
123	23	5	DE	24	50	30	42	840
124	24	5	DE	24	50	30	42	840
125	25	5	DE	24	50	30	42	840
126	1	6	OC	18	30	20	1100	110
127	2	6	OC	18	30	20	1100	110
128	3	6	OC	18	30	20	1100	110
129	4	6	OC	18	30	20	1100	55
130	5	6	OC	18	30	20	1100	55
131	6	6	OC	18	30	20	1100	55
132	7	6	OC	18	30	20	1100	55
133	8	6	OC	18	30	20	1100	55
134	9	6	OC	18	30	20	1100	55
135	10	6	TCO	13	80	50	22	19
136	11	6	TCO	14	80	50	11	19
137	12	6	TCO	7	80	50	11	12
138	13	6	TCO	5	80	50	11	6
139	14	6	TEI	16	100	50	25	25
140	15	6	TEI	2	100	50	19	17
141	16	6	TEI	1	100	50	6	8
142	17	6	DE	24	50	30	126	840
143	18	6	DE	24	50	30	84	840
144	19	6	DE	24	50	30	42	840
145	20	6	DE	24	50	30	42	840
146	21	6	DE	24	50	30	42	840
147	22	6	DE	24	50	30	42	840
148	23	6	DE	24	50	30	42	840
149	24	6	DE	24	50	30	42	840
150	25	6	DE	24	50	30	42	840
151	1	7	OC	18	30	20	1100	110
152	2	7	OC	18	30	20	1100	110
153	3	7	OC	18	30	20	1100	110
154	4	7	OC	18	30	20	1100	55
155	5	7	OC	18	30	20	1100	55
156	6	7	OC	18	30	20	1100	55
157	7	7	OC	18	30	20	1100	55
158	8	7	OC	18	30	20	1100	55
159	9	7	OC	18	30	20	1100	55
160	10	7	TCO	13	80	50	22	19
161	11	7	TCO	14	80	50	11	19
162	12	7	TCO	7	80	50	11	12
163	13	7	TCO	5	80	50	11	6
164	14	7	TEI	16	100	50	25	25
165	15	7	TEI	2	100	50	19	17
166	16	7	TEI	1	100	50	6	8
167	17	7	DE	24	50	30	126	840
168	18	7	DE	24	50	30	84	840
169	19	7	DE	24	50	30	42	840
170	20	7	DE	24	50	30	42	840
171	21	7	DE	24	50	30	42	840
172	22	7	DE	24	50	30	42	840
173	23	7	DE	24	50	30	42	840
174	24	7	DE	24	50	30	42	840
175	25	7	DE	24	50	30	42	840
176	1	8	OC	18	30	20	1100	110
177	2	8	OC	18	30	20	1100	110
178	3	8	OC	18	30	20	1100	110
179	4	8	OC	18	30	20	1100	55
180	5	8	OC	18	30	20	1100	55
181	6	8	OC	18	30	20	1100	55
182	7	8	OC	18	30	20	1100	55
183	8	8	OC	18	30	20	1100	55
184	9	8	OC	18	30	20	1100	55
185	10	8	TCO	13	80	50	22	19
186	11	8	TCO	14	80	50	11	19
187	12	8	TCO	7	80	50	11	12
188	13	8	TCO	5	80	50	11	6
189	14	8	TEI	16	100	50	25	25
190	15	8	TEI	2	100	50	19	17
191	16	8	TEI	1	100	50	6	8
192	17	8	DE	24	50	30	126	840
193	18	8	DE	24	50	30	84	840
194	19	8	DE	24	50	30	42	840
195	20	8	DE	24	50	30	42	840
196	21	8	DE	24	50	30	42	840
197	22	8	DE	24	50	30	42	840
198	23	8	DE	24	50	30	42	840
199	24	8	DE	24	50	30	42	840
200	25	8	DE	24	50	30	42	840
201	1	9	OC	18	30	20	1100	110
202	2	9	OC	18	30	20	1100	110
203	3	9	OC	18	30	20	1100	110
204	4	9	OC	18	30	20	1100	55
205	5	9	OC	18	30	20	1100	55
206	6	9	OC	18	30	20	1100	55
207	7	9	OC	18	30	20	1100	55
208	8	9	OC	18	30	20	1100	55
209	9	9	OC	18	30	20	1100	55
210	10	9	TCO	13	80	50	22	19
211	11	9	TCO	14	80	50	11	19
212	12	9	TCO	7	80	50	11	12
213	13	9	TCO	5	80	50	11	6
214	14	9	TEI	16	100	50	25	25
215	15	9	TEI	2	100	50	19	17
216	16	9	TEI	1	100	50	6	8
217	17	9	DE	24	50	30	126	840
218	18	9	DE	24	50	30	84	840
219	19	9	DE	24	50	30	42	840
220	20	9	DE	24	50	30	42	840
221	21	9	DE	24	50	30	42	840
222	22	9	DE	24	50	30	42	840
223	23	9	DE	24	50	30	42	840
224	24	9	DE	24	50	30	42	840
225	25	9	DE	24	50	30	42	840
226	1	10	OC	18	30	20	1100	110
227	2	10	OC	18	30	20	1100	110
228	3	10	OC	18	30	20	1100	110
229	4	10	OC	18	30	20	1100	55
230	5	10	OC	18	30	20	1100	55
231	6	10	OC	18	30	20	1100	55
232	7	10	OC	18	30	20	1100	55
233	8	10	OC	18	30	20	1100	55
234	9	10	OC	18	30	20	1100	55
235	10	10	TCO	13	80	50	22	19
236	11	10	TCO	14	80	50	11	19
237	12	10	TCO	7	80	50	11	12
238	13	10	TCO	5	80	50	11	6
239	14	10	TEI	16	100	50	25	25
240	15	10	TEI	2	100	50	19	17
241	16	10	TEI	1	100	50	6	8
242	17	10	DE	24	50	30	126	840
243	18	10	DE	24	50	30	84	840
244	19	10	DE	24	50	30	42	840
245	20	10	DE	24	50	30	42	840
246	21	10	DE	24	50	30	42	840
247	22	10	DE	24	50	30	42	840
248	23	10	DE	24	50	30	42	840
249	24	10	DE	24	50	30	42	840
250	25	10	DE	24	50	30	42	840
251	1	11	OC	18	30	20	1100	110
252	2	11	OC	18	30	20	1100	110
253	3	11	OC	18	30	20	1100	110
254	4	11	OC	18	30	20	1100	55
255	5	11	OC	18	30	20	1100	55
256	6	11	OC	18	30	20	1100	55
257	7	11	OC	18	30	20	1100	55
258	8	11	OC	18	30	20	1100	55
259	9	11	OC	18	30	20	1100	55
260	10	11	TCO	13	80	50	22	19
261	11	11	TCO	14	80	50	11	19
262	12	11	TCO	7	80	50	11	12
263	13	11	TCO	5	80	50	11	6
264	14	11	TEI	16	100	50	25	25
265	15	11	TEI	2	100	50	19	17
266	16	11	TEI	1	100	50	6	8
267	17	11	DE	24	50	30	126	840
268	18	11	DE	24	50	30	84	840
269	19	11	DE	24	50	30	42	840
270	20	11	DE	24	50	30	42	840
271	21	11	DE	24	50	30	42	840
272	22	11	DE	24	50	30	42	840
273	23	11	DE	24	50	30	42	840
274	24	11	DE	24	50	30	42	840
275	25	11	DE	24	50	30	42	840
276	1	12	OC	18	30	20	1100	110
277	2	12	OC	18	30	20	1100	110
278	3	12	OC	18	30	20	1100	110
279	4	12	OC	18	30	20	1100	55
280	5	12	OC	18	30	20	1100	55
281	6	12	OC	18	30	20	1100	55
282	7	12	OC	18	30	20	1100	55
283	8	12	OC	18	30	20	1100	55
284	9	12	OC	18	30	20	1100	55
285	10	12	TCO	13	80	50	22	19
286	11	12	TCO	14	80	50	11	19
287	12	12	TCO	7	80	50	11	12
288	13	12	TCO	5	80	50	11	6
289	14	12	TEI	16	100	50	25	25
290	15	12	TEI	2	100	50	19	17
291	16	12	TEI	1	100	50	6	8
292	17	12	DE	24	50	30	126	840
293	18	12	DE	24	50	30	84	840
294	19	12	DE	24	50	30	42	840
295	20	12	DE	24	50	30	42	840
296	21	12	DE	24	50	30	42	840
297	22	12	DE	24	50	30	42	840
298	23	12	DE	24	50	30	42	840
299	24	12	DE	24	50	30	42	840
300	25	12	DE	24	50	30	42	840
301	1	13	OC	18	30	20	1100	110
302	2	13	OC	18	30	20	1100	110
303	3	13	OC	18	30	20	1100	110
304	4	13	OC	18	30	20	1100	55
305	5	13	OC	18	30	20	1100	55
306	6	13	OC	18	30	20	1100	55
307	7	13	OC	18	30	20	1100	55
308	8	13	OC	18	30	20	1100	55
309	9	13	OC	18	30	20	1100	55
310	10	13	TCO	13	80	50	22	19
311	11	13	TCO	14	80	50	11	19
312	12	13	TCO	7	80	50	11	12
313	13	13	TCO	5	80	50	11	6
314	14	13	TEI	16	100	50	25	25
315	15	13	TEI	2	100	50	19	17
316	16	13	TEI	1	100	50	6	8
317	17	13	DE	24	50	30	126	840
318	18	13	DE	24	50	30	84	840
319	19	13	DE	24	50	30	42	840
320	20	13	DE	24	50	30	42	840
321	21	13	DE	24	50	30	42	840
322	22	13	DE	24	50	30	42	840
323	23	13	DE	24	50	30	42	840
324	24	13	DE	24	50	30	42	840
325	25	13	DE	24	50	30	42	840
326	1	14	OC	18	30	20	1100	110
327	2	14	OC	18	30	20	1100	110
328	3	14	OC	18	30	20	1100	110
329	4	14	OC	18	30	20	1100	55
330	5	14	OC	18	30	20	1100	55
331	6	14	OC	18	30	20	1100	55
332	7	14	OC	18	30	20	1100	55
333	8	14	OC	18	30	20	1100	55
334	9	14	OC	18	30	20	1100	55
335	10	14	TCO	13	80	50	22	19
336	11	14	TCO	14	80	50	11	19
337	12	14	TCO	7	80	50	11	12
338	13	14	TCO	5	80	50	11	6
339	14	14	TEI	16	100	50	25	25
340	15	14	TEI	2	100	50	19	17
341	16	14	TEI	1	100	50	6	8
342	17	14	DE	24	50	30	126	840
343	18	14	DE	24	50	30	84	840
344	19	14	DE	24	50	30	42	840
345	20	14	DE	24	50	30	42	840
346	21	14	DE	24	50	30	42	840
347	22	14	DE	24	50	30	42	840
348	23	14	DE	24	50	30	42	840
349	24	14	DE	24	50	30	42	840
350	25	14	DE	24	50	30	42	840
351	1	15	OC	18	30	20	1100	110
352	2	15	OC	18	30	20	1100	110
353	3	15	OC	18	30	20	1100	110
354	4	15	OC	18	30	20	1100	55
355	5	15	OC	18	30	20	1100	55
356	6	15	OC	18	30	20	1100	55
357	7	15	OC	18	30	20	1100	55
358	8	15	OC	18	30	20	1100	55
359	9	15	OC	18	30	20	1100	55
360	10	15	TCO	13	80	50	22	19
361	11	15	TCO	14	80	50	11	19
362	12	15	TCO	7	80	50	11	12
363	13	15	TCO	5	80	50	11	6
364	14	15	TEI	16	100	50	25	25
365	15	15	TEI	2	100	50	19	17
366	16	15	TEI	1	100	50	6	8
367	17	15	DE	24	50	30	126	840
368	18	15	DE	24	50	30	84	840
369	19	15	DE	24	50	30	42	840
370	20	15	DE	24	50	30	42	840
371	21	15	DE	24	50	30	42	840
372	22	15	DE	24	50	30	42	840
373	23	15	DE	24	50	30	42	840
374	24	15	DE	24	50	30	42	840
375	25	15	DE	24	50	30	42	840
376	1	16	OC	18	30	20	1100	110
377	2	16	OC	18	30	20	1100	110
378	3	16	OC	18	30	20	1100	110
379	4	16	OC	18	30	20	1100	55
380	5	16	OC	18	30	20	1100	55
381	6	16	OC	18	30	20	1100	55
382	7	16	OC	18	30	20	1100	55
383	8	16	OC	18	30	20	1100	55
384	9	16	OC	18	30	20	1100	55
385	10	16	TCO	13	80	50	22	19
386	11	16	TCO	14	80	50	11	19
387	12	16	TCO	7	80	50	11	12
388	13	16	TCO	5	80	50	11	6
389	14	16	TEI	16	100	50	25	25
390	15	16	TEI	2	100	50	19	17
391	16	16	TEI	1	100	50	6	8
392	17	16	DE	24	50	30	126	840
393	18	16	DE	24	50	30	84	840
394	19	16	DE	24	50	30	42	840
395	20	16	DE	24	50	30	42	840
396	21	16	DE	24	50	30	42	840
397	22	16	DE	24	50	30	42	840
398	23	16	DE	24	50	30	42	840
399	24	16	DE	24	50	30	42	840
400	25	16	DE	24	50	30	42	840
401	1	17	OC	18	30	20	1100	110
402	2	17	OC	18	30	20	1100	110
403	3	17	OC	18	30	20	1100	110
404	4	17	OC	18	30	20	1100	55
405	5	17	OC	18	30	20	1100	55
406	6	17	OC	18	30	20	1100	55
407	7	17	OC	18	30	20	1100	55
408	8	17	OC	18	30	20	1100	55
409	9	17	OC	18	30	20	1100	55
410	10	17	TCO	13	80	50	22	19
411	11	17	TCO	14	80	50	11	19
412	12	17	TCO	7	80	50	11	12
413	13	17	TCO	5	80	50	11	6
414	14	17	TEI	16	100	50	25	25
415	15	17	TEI	2	100	50	19	17
416	16	17	TEI	1	100	50	6	8
417	17	17	DE	24	50	30	126	840
418	18	17	DE	24	50	30	84	840
419	19	17	DE	24	50	30	42	840
420	20	17	DE	24	50	30	42	840
421	21	17	DE	24	50	30	42	840
422	22	17	DE	24	50	30	42	840
423	23	17	DE	24	50	30	42	840
424	24	17	DE	24	50	30	42	840
425	25	17	DE	24	50	30	42	840
426	1	18	OC	18	30	20	1100	110
427	2	18	OC	18	30	20	1100	110
428	3	18	OC	18	30	20	1100	110
429	4	18	OC	18	30	20	1100	55
430	5	18	OC	18	30	20	1100	55
431	6	18	OC	18	30	20	1100	55
432	7	18	OC	18	30	20	1100	55
433	8	18	OC	18	30	20	1100	55
434	9	18	OC	18	30	20	1100	55
435	10	18	TCO	13	80	50	22	19
436	11	18	TCO	14	80	50	11	19
437	12	18	TCO	7	80	50	11	12
438	13	18	TCO	5	80	50	11	6
439	14	18	TEI	16	100	50	25	25
440	15	18	TEI	2	100	50	19	17
441	16	18	TEI	1	100	50	6	8
442	17	18	DE	24	50	30	126	840
443	18	18	DE	24	50	30	84	840
444	19	18	DE	24	50	30	42	840
445	20	18	DE	24	50	30	42	840
446	21	18	DE	24	50	30	42	840
447	22	18	DE	24	50	30	42	840
448	23	18	DE	24	50	30	42	840
449	24	18	DE	24	50	30	42	840
450	25	18	DE	24	50	30	42	840
451	1	19	OC	18	30	20	1100	110
452	2	19	OC	18	30	20	1100	110
453	3	19	OC	18	30	20	1100	110
454	4	19	OC	18	30	20	1100	55
455	5	19	OC	18	30	20	1100	55
456	6	19	OC	18	30	20	1100	55
457	7	19	OC	18	30	20	1100	55
458	8	19	OC	18	30	20	1100	55
459	9	19	OC	18	30	20	1100	55
460	10	19	TCO	13	80	50	22	19
461	11	19	TCO	14	80	50	11	19
462	12	19	TCO	7	80	50	11	12
463	13	19	TCO	5	80	50	11	6
464	14	19	TEI	16	100	50	25	25
465	15	19	TEI	2	100	50	19	17
466	16	19	TEI	1	100	50	6	8
467	17	19	DE	24	50	30	126	840
468	18	19	DE	24	50	30	84	840
469	19	19	DE	24	50	30	42	840
470	20	19	DE	24	50	30	42	840
471	21	19	DE	24	50	30	42	840
472	22	19	DE	24	50	30	42	840
473	23	19	DE	24	50	30	42	840
474	24	19	DE	24	50	30	42	840
475	25	19	DE	24	50	30	42	840
476	1	20	OC	18	30	20	1100	110
477	2	20	OC	18	30	20	1100	110
478	3	20	OC	18	30	20	1100	110
479	4	20	OC	18	30	20	1100	55
480	5	20	OC	18	30	20	1100	55
481	6	20	OC	18	30	20	1100	55
482	7	20	OC	18	30	20	1100	55
483	8	20	OC	18	30	20	1100	55
484	9	20	OC	18	30	20	1100	55
485	10	20	TCO	13	80	50	22	19
486	11	20	TCO	14	80	50	11	19
487	12	20	TCO	7	80	50	11	12
488	13	20	TCO	5	80	50	11	6
489	14	20	TEI	16	100	50	25	25
490	15	20	TEI	2	100	50	19	17
491	16	20	TEI	1	100	50	6	8
492	17	20	DE	24	50	30	126	840
493	18	20	DE	24	50	30	84	840
494	19	20	DE	24	50	30	42	840
495	20	20	DE	24	50	30	42	840
496	21	20	DE	24	50	30	42	840
497	22	20	DE	24	50	30	42	840
498	23	20	DE	24	50	30	42	840
499	24	20	DE	24	50	30	42	840
500	25	20	DE	24	50	30	42	840
501	1	21	OC	18	30	20	1100	110
502	2	21	OC	18	30	20	1100	110
503	3	21	OC	18	30	20	1100	110
504	4	21	OC	18	30	20	1100	55
505	5	21	OC	18	30	20	1100	55
506	6	21	OC	18	30	20	1100	55
507	7	21	OC	18	30	20	1100	55
508	8	21	OC	18	30	20	1100	55
509	9	21	OC	18	30	20	1100	55
510	10	21	TCO	13	80	50	22	19
511	11	21	TCO	14	80	50	11	19
512	12	21	TCO	7	80	50	11	12
513	13	21	TCO	5	80	50	11	6
514	14	21	TEI	16	100	50	25	25
515	15	21	TEI	2	100	50	19	17
516	16	21	TEI	1	100	50	6	8
517	17	21	DE	24	50	30	126	840
518	18	21	DE	24	50	30	84	840
519	19	21	DE	24	50	30	42	840
520	20	21	DE	24	50	30	42	840
521	21	21	DE	24	50	30	42	840
522	22	21	DE	24	50	30	42	840
523	23	21	DE	24	50	30	42	840
524	24	21	DE	24	50	30	42	840
525	25	21	DE	24	50	30	42	840
526	1	22	OC	18	30	20	1100	110
527	2	22	OC	18	30	20	1100	110
528	3	22	OC	18	30	20	1100	110
529	4	22	OC	18	30	20	1100	55
530	5	22	OC	18	30	20	1100	55
531	6	22	OC	18	30	20	1100	55
532	7	22	OC	18	30	20	1100	55
533	8	22	OC	18	30	20	1100	55
534	9	22	OC	18	30	20	1100	55
535	10	22	TCO	13	80	50	22	19
536	11	22	TCO	14	80	50	11	19
537	12	22	TCO	7	80	50	11	12
538	13	22	TCO	5	80	50	11	6
539	14	22	TEI	16	100	50	25	25
540	15	22	TEI	2	100	50	19	17
541	16	22	TEI	1	100	50	6	8
542	17	22	DE	24	50	30	126	840
543	18	22	DE	24	50	30	84	840
544	19	22	DE	24	50	30	42	840
545	20	22	DE	24	50	30	42	840
546	21	22	DE	24	50	30	42	840
547	22	22	DE	24	50	30	42	840
548	23	22	DE	24	50	30	42	840
549	24	22	DE	24	50	30	42	840
550	25	22	DE	24	50	30	42	840
551	1	23	OC	18	30	20	1100	110
552	2	23	OC	18	30	20	1100	110
553	3	23	OC	18	30	20	1100	110
554	4	23	OC	18	30	20	1100	55
555	5	23	OC	18	30	20	1100	55
556	6	23	OC	18	30	20	1100	55
557	7	23	OC	18	30	20	1100	55
558	8	23	OC	18	30	20	1100	55
559	9	23	OC	18	30	20	1100	55
560	10	23	TCO	13	80	50	22	19
561	11	23	TCO	14	80	50	11	19
562	12	23	TCO	7	80	50	11	12
563	13	23	TCO	5	80	50	11	6
564	14	23	TEI	16	100	50	25	25
565	15	23	TEI	2	100	50	19	17
566	16	23	TEI	1	100	50	6	8
567	17	23	DE	24	50	30	126	840
568	18	23	DE	24	50	30	84	840
569	19	23	DE	24	50	30	42	840
570	20	23	DE	24	50	30	42	840
571	21	23	DE	24	50	30	42	840
572	22	23	DE	24	50	30	42	840
573	23	23	DE	24	50	30	42	840
574	24	23	DE	24	50	30	42	840
575	25	23	DE	24	50	30	42	840
576	1	24	OC	18	30	20	1100	110
577	2	24	OC	18	30	20	1100	110
578	3	24	OC	18	30	20	1100	110
579	4	24	OC	18	30	20	1100	55
580	5	24	OC	18	30	20	1100	55
581	6	24	OC	18	30	20	1100	55
582	7	24	OC	18	30	20	1100	55
583	8	24	OC	18	30	20	1100	55
584	9	24	OC	18	30	20	1100	55
585	10	24	TCO	13	80	50	22	19
586	11	24	TCO	14	80	50	11	19
587	12	24	TCO	7	80	50	11	12
588	13	24	TCO	5	80	50	11	6
589	14	24	TEI	16	100	50	25	25
590	15	24	TEI	2	100	50	19	17
591	16	24	TEI	1	100	50	6	8
592	17	24	DE	24	50	30	126	840
593	18	24	DE	24	50	30	84	840
594	19	24	DE	24	50	30	42	840
595	20	24	DE	24	50	30	42	840
596	21	24	DE	24	50	30	42	840
597	22	24	DE	24	50	30	42	840
598	23	24	DE	24	50	30	42	840
599	24	24	DE	24	50	30	42	840
600	25	24	DE	24	50	30	42	840
601	1	25	OC	18	30	20	1100	110
602	2	25	OC	18	30	20	1100	110
603	3	25	OC	18	30	20	1100	110
604	4	25	OC	18	30	20	1100	55
605	5	25	OC	18	30	20	1100	55
606	6	25	OC	18	30	20	1100	55
607	7	25	OC	18	30	20	1100	55
608	8	25	OC	18	30	20	1100	55
609	9	25	OC	18	30	20	1100	55
610	10	25	TCO	13	80	50	22	19
611	11	25	TCO	14	80	50	11	19
612	12	25	TCO	7	80	50	11	12
613	13	25	TCO	5	80	50	11	6
614	14	25	TEI	16	100	50	25	25
615	15	25	TEI	2	100	50	19	17
616	16	25	TEI	1	100	50	6	8
617	17	25	DE	24	50	30	126	840
618	18	25	DE	24	50	30	84	840
619	19	25	DE	24	50	30	42	840
620	20	25	DE	24	50	30	42	840
621	21	25	DE	24	50	30	42	840
622	22	25	DE	24	50	30	42	840
623	23	25	DE	24	50	30	42	840
624	24	25	DE	24	50	30	42	840
625	25	25	DE	24	50	30	42	840
626	1	26	OC	18	30	20	1100	110
627	2	26	OC	18	30	20	1100	110
628	3	26	OC	18	30	20	1100	110
629	4	26	OC	18	30	20	1100	55
630	5	26	OC	18	30	20	1100	55
631	6	26	OC	18	30	20	1100	55
632	7	26	OC	18	30	20	1100	55
633	8	26	OC	18	30	20	1100	55
634	9	26	OC	18	30	20	1100	55
635	10	26	TCO	13	80	50	22	19
636	11	26	TCO	14	80	50	11	19
637	12	26	TCO	7	80	50	11	12
638	13	26	TCO	5	80	50	11	6
639	14	26	TEI	16	100	50	25	25
640	15	26	TEI	2	100	50	19	17
641	16	26	TEI	1	100	50	6	8
642	17	26	DE	24	50	30	126	840
643	18	26	DE	24	50	30	84	840
644	19	26	DE	24	50	30	42	840
645	20	26	DE	24	50	30	42	840
646	21	26	DE	24	50	30	42	840
647	22	26	DE	24	50	30	42	840
648	23	26	DE	24	50	30	42	840
649	24	26	DE	24	50	30	42	840
650	25	26	DE	24	50	30	42	840
651	1	27	OC	18	30	20	1100	110
652	2	27	OC	18	30	20	1100	110
653	3	27	OC	18	30	20	1100	110
654	4	27	OC	18	30	20	1100	55
655	5	27	OC	18	30	20	1100	55
656	6	27	OC	18	30	20	1100	55
657	7	27	OC	18	30	20	1100	55
658	8	27	OC	18	30	20	1100	55
659	9	27	OC	18	30	20	1100	55
660	10	27	TCO	13	80	50	22	19
661	11	27	TCO	14	80	50	11	19
662	12	27	TCO	7	80	50	11	12
663	13	27	TCO	5	80	50	11	6
664	14	27	TEI	16	100	50	25	25
665	15	27	TEI	2	100	50	19	17
666	16	27	TEI	1	100	50	6	8
667	17	27	DE	24	50	30	126	840
668	18	27	DE	24	50	30	84	840
669	19	27	DE	24	50	30	42	840
670	20	27	DE	24	50	30	42	840
671	21	27	DE	24	50	30	42	840
672	22	27	DE	24	50	30	42	840
673	23	27	DE	24	50	30	42	840
674	24	27	DE	24	50	30	42	840
675	25	27	DE	24	50	30	42	840
676	1	28	OC	18	30	20	1100	110
677	2	28	OC	18	30	20	1100	110
678	3	28	OC	18	30	20	1100	110
679	4	28	OC	18	30	20	1100	55
680	5	28	OC	18	30	20	1100	55
681	6	28	OC	18	30	20	1100	55
682	7	28	OC	18	30	20	1100	55
683	8	28	OC	18	30	20	1100	55
684	9	28	OC	18	30	20	1100	55
685	10	28	TCO	13	80	50	22	19
686	11	28	TCO	14	80	50	11	19
687	12	28	TCO	7	80	50	11	12
688	13	28	TCO	5	80	50	11	6
689	14	28	TEI	16	100	50	25	25
690	15	28	TEI	2	100	50	19	17
691	16	28	TEI	1	100	50	6	8
692	17	28	DE	24	50	30	126	840
693	18	28	DE	24	50	30	84	840
694	19	28	DE	24	50	30	42	840
695	20	28	DE	24	50	30	42	840
696	21	28	DE	24	50	30	42	840
697	22	28	DE	24	50	30	42	840
698	23	28	DE	24	50	30	42	840
699	24	28	DE	24	50	30	42	840
700	25	28	DE	24	50	30	42	840
701	1	29	OC	18	30	20	1100	110
702	2	29	OC	18	30	20	1100	110
703	3	29	OC	18	30	20	1100	110
704	4	29	OC	18	30	20	1100	55
705	5	29	OC	18	30	20	1100	55
706	6	29	OC	18	30	20	1100	55
707	7	29	OC	18	30	20	1100	55
